%OpenBCI Raw EEG Data
%
%Sample Rate = 200.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp 
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
58, -168.96, -89.90, 699.94, 659.70, 0.00, 0.00, 0.00, 14:27:19.064
59, -184.75, -96.43, 702.12, 650.78, 0.00, 0.00, 0.00, 14:27:19.064
60, -186.01, -100.32, 705.02, 658.59, 0.00, 0.00, 0.00, 14:27:19.064
61, -190.20, -100.73, 696.86, 664.09, 0.00, 0.00, 0.00, 14:27:19.065
62, -184.31, -97.95, 704.60, 666.25, 0.00, 0.00, 0.00, 14:27:19.065
63, -183.95, -99.09, 704.63, 660.92, 0.00, 0.00, 0.00, 14:27:19.093
64, -180.09, -101.78, 701.46, 654.04, 0.00, 0.00, 0.00, 14:27:19.093
65, -178.60, -95.44, 711.45, 669.92, 0.00, 0.00, 0.00, 14:27:19.094
66, -190.83, -104.03, 706.36, 660.92, 0.00, 0.00, 0.00, 14:27:19.094
67, -185.54, -105.05, 702.09, 665.73, 0.00, 0.00, 0.00, 14:27:19.094
68, -181.26, -93.17, 714.26, 672.05, 0.00, 0.00, 0.00, 14:27:19.095
69, -184.85, -98.20, 695.29, 656.58, 0.00, 0.00, 0.00, 14:27:19.126
70, -180.31, -96.58, 702.17, 659.75, 0.00, 0.00, 0.00, 14:27:19.127
71, -182.07, -94.13, 699.27, 656.87, 0.00, 0.00, 0.00, 14:27:19.127
72, -177.80, -90.78, 706.51, 654.63, 0.00, 0.00, 0.00, 14:27:19.128
73, -186.32, -101.61, 708.00, 665.88, 0.00, 0.00, 0.00, 14:27:19.128
74, -185.19, -96.77, 704.26, 654.60, 0.00, 0.00, 0.00, 14:27:19.129
75, -186.33, -96.59, 701.78, 646.64, 0.00, 0.00, 0.00, 14:27:19.154
76, -185.94, -95.52, 707.52, 656.99, 0.00, 0.00, 0.00, 14:27:19.154
77, -187.73, -100.69, 704.11, 655.31, 0.00, 0.00, 0.00, 14:27:19.155
78, -183.04, -100.39, 714.13, 661.72, 0.00, 0.00, 0.00, 14:27:19.155
79, -184.12, -97.34, 700.91, 658.45, 0.00, 0.00, 0.00, 14:27:19.155
80, -184.95, -104.64, 697.11, 655.67, 0.00, 0.00, 0.00, 14:27:19.156
81, -176.82, -97.41, 698.18, 657.91, 0.00, 0.00, 0.00, 14:27:19.183
82, -180.11, -97.32, 700.13, 653.67, 0.00, 0.00, 0.00, 14:27:19.184
